username,key,value
postnl,1,Wat is PostNL?
postnl,2,Wat nou als ik veel pakketten moet versturen?
postnl,3,Vertel me meer over de haalservice
postnl,4,Schrijf een mail voor een prospect over de haalservice
postnl,5,Wat zijn de duurzaamheidsvoordelen van de haalservice?
datastax,1,What is DataStax?
datastax,2,What is Vector Search?
datastax,3,Tell me more about why Astra DB is the best!
datastax,4,Write an email for a prospect about Astra DB
datastax,5,What advantages does Astra DB offer for Generative AI?
datastax,6,What strategies exits for meaningful agent interaction
datastax,7,How can I use Astra DB in a RAG application?
datastaxjp,1,DataStaxとは何ですか?
datastaxjp,2,ベクトル検索とは何ですか?
datastaxjp,3,なぜAstra DBが最高である理由を教えてください!
datastaxjp,4,Astra DBを買いそうな見込み客へ送る電子メールの本文を書いてください
datastaxjp,5,Astra DBが生成AIに対して提供する機能は何でしょうか?
datastaxjp,6,エージェントとの対話を改善する方法としてはどのような方法があるでしょうか?
datastaxjp,7,RAGアプリケーションの中で、どのようにAstra DBを利用できるでしょうか?
