locale,key,value
en_US,connect_astra,Setting up Astra DB connection...
en_US,load_embedding,Getting the OpenAI embedding...
en_US,load_vectorstore,Getting the Vector Store from Astra DB...
en_US,load_retriever,Getting the retriever...
en_US,load_message_history,Getting the Message History from Astra DB...
en_US,load_model,Getting the OpenAI Chat Model...
en_US,load_context,Upload a document for additional context
en_US,load_context_button,Save
en_US,delete_context,"Delete the context, history and start over. This deletes vector embeddings for ALL users!"
en_US,delete_context_button,Delete context
en_US,deleting_context,Removing context and intialising...
en_US,delete_memory,"Delete the history in the conversational memory."
en_US,deleting_memory,Removing memory...
en_US,delete_memory_button,Delete chat history
en_US,assistant_welcome,"Hi, I'm your personal assistant and am ready to help!"
en_US,assistant_question,What's up?
en_US,load_text,chuncks loaded into Astra DB
en_US,load_pdf,pages loaded into Astra DB
en_US,assistant_leadin,Type for example:
en_US,rails_1,🤩 Try the following prompts ⬇️
en_US,rails_2,(copy and paste in the chat box)
en_US,logout_caption,Welcome! Logged in as
en_US,logout_button,Logout
en_US,sources_used,The following context was used for this answer:
nl_NL,connect_astra,Verkrijgen van de Astra DB verbinding...
nl_NL,load_embedding,Verkrijgen van de OpenAI embedding...
nl_NL,load_vectorstore,Verkrijgen van de vector opslag...
nl_NL,load_retriever,Verkrijgen van de retriever...
nl_NL,load_message_history,Verkrijgen van Message History...
nl_NL,load_model,Verkrijgen van het OpenAI chat model...
nl_NL,load_context,Upload een document voor additionele context
nl_NL,load_context_button,Opslaan
nl_NL,delete_context,"Verwijder de context, historie en begin opnieuw. Dit verwijderd vector data voor ALLE gebruikers!"
nl_NL,delete_context_button,Verwijder context
nl_NL,deleting_context,Context verwijderen en herinitialiseren...
nl_NL,delete_memory,"Verwijder de historie uit het chat geheugen."
nl_NL,deleting_memory,Memory verwijderen...
nl_NL,delete_memory_button,Verwijder chat historie
nl_NL,assistant_welcome,"Hallo, ik ben je persoonlijke assistent en sta voor je klaar!"
nl_NL,assistant_question,Waar kan ik mee helpen?
nl_NL,load_text,chuncks geladen in Astra DB
nl_NL,load_pdf,paginas geladen in Astra DB
nl_NL,assistant_leadin,Bijvoorbeeld:
nl_NL,rails_1,🤩 Probeer de volgende prompts ⬇️
nl_NL,rails_2,(kopieer en plak in de chat)
nl_NL,logout_caption,Welkom! Ingelogd als
nl_NL,logout_button,Uitloggen
nl_NL,sources_used,De volgende context is gebruikt voor dit antwoord:
ja_JP,connect_astra,Astra DBへの接続を確立...
ja_JP,load_embedding,OpenAIのembeddingを設定...
ja_JP,load_vectorstore,Astra DBをVector Storeとして設定...
ja_JP,load_retriever,Retrieverを設定...
ja_JP,load_message_history,Astra DBからMessage Historyを取得...
ja_JP,load_model,OpenAIのChat Modelを設定...
ja_JP,load_context,コンテキスト強化のためにドキュメントをアップロード
ja_JP,load_context_button,保存
ja_JP,delete_context,"コンテキストと履歴を削除して初めからやり直す。注意：全ユーザーのベクトルエンべディングが削除されます!"
ja_JP,delete_context_button,コンテキスト削除
ja_JP,deleting_context,コンテキストを削除し、初期化します...
ja_JP,delete_memory,"対話記憶の履歴を削除します。"
ja_JP,deleting_memory,記憶を削除します...
ja_JP,delete_memory_button,チャット履歴削除
ja_JP,assistant_welcome,"こんにちは！パーソナルアシスタントを務めますので、よろしくお願いします！"
ja_JP,assistant_question,ご質問をどうぞ
ja_JP,load_text,Astra DBにチャンクを書き込みます
ja_JP,load_pdf,Astra DBにページを書き込みます
ja_JP,assistant_leadin,例えば、次のように入力します:
ja_JP,rails_1,🤩 以下のプロンプトが試せます ⬇️
ja_JP,rails_2,(コピーして、チャットボックスにペーストしてください)
ja_JP,logout_caption,ようこそ! ユーザー名:
ja_JP,logout_button,ログアウト
ja_JP,sources_used,回答のために、このコンテキストを使いました:
